,name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
6529,44,1,1,4.7,4657,332,40,34,1300.0,5004
6530,12,1,1,4.1,612,332,7293,22,1100.0,5004
6531,28,1,1,4.5,1621,332,7293,28,1300.0,5004
6532,25,1,0,4.3,652,332,107,85,750.0,5004
6534,23,0,1,4.0,323,332,298,23,1300.0,5004
6535,33,1,1,4.2,474,332,7293,64,1700.0,5004
6536,13,1,0,4.1,391,332,7293,13,600.0,5004
6537,25,1,1,4.3,858,332,302,25,1000.0,5004
6538,39,1,0,4.2,739,332,2321,78,750.0,5004
6539,19,1,0,3.9,430,293,7293,18,550.0,5004
6540,12,1,1,4.0,378,332,7293,12,850.0,5004
6541,8,0,0,4.1,211,293,96,44,200.0,5004
6542,12,1,0,3.7,162,332,7293,117,700.0,5004
6543,28,1,0,3.3,201,332,7293,210,700.0,5004
6544,12,1,0,4.1,402,332,7293,12,750.0,5004
6545,17,1,1,3.8,91,332,7293,41,1800.0,5004
6548,8,0,1,3.7,100,75,7293,8,1600.0,5004
6551,6,0,0,4.0,107,332,5221,6,400.0,5004
6552,10,1,0,3.7,74,293,5221,1136,300.0,5004
6553,6,0,0,4.5,203,14,5221,359,150.0,5004
6559,12,0,0,3.2,41,14,5221,12,400.0,5004
6560,39,0,0,4.0,53,332,5221,40,400.0,5004
6562,22,0,1,3.9,156,332,7293,18,1100.0,5004
6583,46,1,0,3.9,146,332,5221,61,600.0,5004
6584,23,1,0,2.8,142,293,96,215,300.0,5004
6587,16,0,1,4.3,2651,568,328,54,1300.0,5004
6588,17,1,1,4.0,2103,568,37,9,2000.0,5004
6589,18,0,1,4.4,2039,443,980,18,1200.0,5004
6590,11,0,1,4.5,8375,568,76,5,2000.0,5004
6591,12,0,0,4.5,1573,568,980,359,1500.0,5004
6592,10,0,1,4.4,256,568,121,10,1500.0,5004
6593,12,0,1,4.2,240,568,324,28,1500.0,5004
6594,20,1,1,4.3,393,568,328,20,1600.0,5004
6595,12,0,1,4.1,548,568,217,151,1100.0,5004
6596,12,0,0,4.0,949,568,324,776,1100.0,5004
6597,19,1,0,4.0,1203,568,9,49,2000.0,5004
6598,9,0,0,2.0,395,568,298,151,1500.0,5004
6600,9,0,1,4.4,4575,590,298,9,1700.0,5004
6601,9,0,0,4.7,3894,441,121,9,1500.0,5004
6602,9,0,1,4.2,3116,443,298,82,2500.0,5004
6603,4,0,1,4.4,858,443,311,9,3000.0,5004
6604,14,1,1,4.4,2229,443,14,15,3000.0,5004
6605,9,0,0,4.4,2392,443,46,65,1500.0,5004
6606,12,0,1,4.5,5262,304,980,12,2500.0,5004
6607,19,1,1,4.6,1211,304,980,19,1700.0,5004
